Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;maxWeight;elementsCount;maxElementWeight;maxElementValue;Mean;Error;StdDev;Median;Rank;Gen 0;Gen 1;Gen 2;Allocated
GetApproximateConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;170;35;30;50;29.447 ms;0.3308 ms;0.3094 ms;29.411 ms;6;5281.2500;2156.2500;0.0000;31.79 MB
GetRecursiveConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;170;35;30;50;29.276 ms;0.1994 ms;0.1768 ms;29.291 ms;6;5281.2500;2156.2500;0.0000;31.79 MB
GetApproximateConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;150;33;30;45;28.571 ms;0.5341 ms;1.1612 ms;28.165 ms;5;5000.0000;2093.7500;0.0000;30 MB
GetRecursiveConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;150;33;30;45;27.712 ms;0.2143 ms;0.2004 ms;27.741 ms;5;5000.0000;2062.5000;0.0000;29.97 MB
GetRecursiveConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;140;30;30;40;25.708 ms;0.5137 ms;0.6115 ms;25.403 ms;4;4531.2500;1875.0000;0.0000;27.27 MB
GetApproximateConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;140;30;30;40;25.241 ms;0.1215 ms;0.1014 ms;25.224 ms;4;4531.2500;1875.0000;0.0000;27.27 MB
GetApproximateConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;120;20;30;30;16.913 ms;0.2166 ms;0.2026 ms;16.867 ms;3;3031.2500;1250.0000;0.0000;18.17 MB
GetRecursiveConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;120;20;30;30;16.802 ms;0.1576 ms;0.1474 ms;16.782 ms;3;3031.2500;1250.0000;0.0000;18.18 MB
GetApproximateConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;10;30;30;8.919 ms;0.1779 ms;0.4194 ms;8.780 ms;2;1515.6250;625.0000;0.0000;9.08 MB
GetRecursiveConcreteBenchmark;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;10;30;30;8.397 ms;0.0845 ms;0.0706 ms;8.370 ms;1;1515.6250;625.0000;0.0000;9.08 MB
